regiao;coduf;data;semanaEpidemiologica;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
Brasil;76;2020-05-07;19;210147125;135106;9888;9146;611;55350;70610
Brasil;76;2020-05-08;19;210147125;145328;10222;9895;749;59297;76134
Brasil;76;2020-05-09;19;210147125;155939;10611;10627;732;61685;83627
Brasil;76;2020-05-10;20;210147125;162699;6760;11123;496;64957;86619
Brasil;76;2020-05-11;20;210147125;168331;5632;11519;396;67384;89429
Brasil;76;2020-05-12;20;210147125;177589;9258;12400;881;72597;92593
Brasil;76;2020-05-13;20;210147125;188974;11385;13149;749;78424;97402
Brasil;76;2020-05-14;20;210147125;202918;13944;13993;844;79479;109446
Brasil;76;2020-05-15;20;210147125;218223;15305;14817;824;84970;118436
Brasil;76;2020-05-16;20;210147125;233142;14919;15633;816;89672;127837
Brasil;76;2020-05-17;21;210147125;241080;7938;16118;485;94122;130840
Brasil;76;2020-05-18;21;210147125;254220;13140;16792;674;100459;136969
Brasil;76;2020-05-19;21;210147125;271628;17408;17971;1179;106794;146863
Brasil;76;2020-05-20;21;210147125;291579;19951;18859;888;116683;156037
Brasil;76;2020-05-21;21;210147125;310087;18508;20047;1188;125960;164080
Brasil;76;2020-05-22;21;210147125;330890;20803;21046;999;135430;174412
Brasil;76;2020-05-23;21;210147125;347398;16508;22013;967;142587;182798
Brasil;76;2020-05-24;22;210147125;363211;15813;22666;653;149911;190634
Brasil;76;2020-05-25;22;210147125;374898;11687;23473;807;153833;197592
Brasil;76;2020-05-26;22;210147125;391222;16324;24512;1039;158593;208117
Brasil;76;2020-05-27;22;210147125;411821;20599;25598;1086;166647;219576
Brasil;76;2020-05-28;22;210147125;438238;26417;26754;1156;177604;233880
Brasil;76;2020-05-29;22;210147125;465166;26928;27878;1124;189476;247812
Brasil;76;2020-05-30;22;210147125;498440;33274;28834;956;200892;268714
Brasil;76;2020-05-31;23;210147125;514200;15760;29314;480;206555;278331
Brasil;76;2020-06-01;23;210147125;526447;12247;29937;623;211080;285430
Brasil;76;2020-06-02;23;210147125;555383;28936;31199;1262;223638;300546
Brasil;76;2020-06-03;23;210147125;584016;28633;32548;1349;238617;312851
Brasil;76;2020-06-04;23;210147125;614941;30925;34021;1473;254963;325957
Brasil;76;2020-06-05;23;210147125;645771;30830;35026;1005;266940;343805
Brasil;76;2020-06-06;23;210147125;672846;27075;35930;904;277149;359767
Brasil;76;2020-06-07;24;210147125;691758;18912;36455;525;283952;371351
Brasil;76;2020-06-08;24;210147125;707412;15654;37134;679;290040;380238
