data,coduf,regiao,continente,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2020-01-03,NZ,New Zealand,WPRO,0,0,0,0
2020-01-04,NZ,New Zealand,WPRO,0,0,0,0
2020-01-05,NZ,New Zealand,WPRO,0,0,0,0
2020-01-06,NZ,New Zealand,WPRO,0,0,0,0
2020-01-07,NZ,New Zealand,WPRO,0,0,0,0
2020-01-08,NZ,New Zealand,WPRO,0,0,0,0
2020-01-09,NZ,New Zealand,WPRO,0,0,0,0
2020-01-10,NZ,New Zealand,WPRO,0,0,0,0
2020-01-11,NZ,New Zealand,WPRO,0,0,0,0
2020-01-12,NZ,New Zealand,WPRO,0,0,0,0
2020-01-13,NZ,New Zealand,WPRO,0,0,0,0
2020-01-14,NZ,New Zealand,WPRO,0,0,0,0
2020-01-15,NZ,New Zealand,WPRO,0,0,0,0
2020-01-16,NZ,New Zealand,WPRO,0,0,0,0
2020-01-17,NZ,New Zealand,WPRO,0,0,0,0
2020-01-18,NZ,New Zealand,WPRO,0,0,0,0
2020-01-19,NZ,New Zealand,WPRO,0,0,0,0
2020-01-20,NZ,New Zealand,WPRO,0,0,0,0
2020-01-21,NZ,New Zealand,WPRO,0,0,0,0
2020-01-22,NZ,New Zealand,WPRO,0,0,0,0
2020-01-23,NZ,New Zealand,WPRO,0,0,0,0
2020-01-24,NZ,New Zealand,WPRO,0,0,0,0
2020-01-25,NZ,New Zealand,WPRO,0,0,0,0
2020-01-26,NZ,New Zealand,WPRO,0,0,0,0
2020-01-27,NZ,New Zealand,WPRO,0,0,0,0
2020-01-28,NZ,New Zealand,WPRO,0,0,0,0
2020-01-29,NZ,New Zealand,WPRO,0,0,0,0
2020-01-30,NZ,New Zealand,WPRO,0,0,0,0
2020-01-31,NZ,New Zealand,WPRO,0,0,0,0
2020-02-01,NZ,New Zealand,WPRO,0,0,0,0
2020-02-02,NZ,New Zealand,WPRO,0,0,0,0
2020-02-03,NZ,New Zealand,WPRO,0,0,0,0
2020-02-04,NZ,New Zealand,WPRO,0,0,0,0
2020-02-05,NZ,New Zealand,WPRO,0,0,0,0
2020-02-06,NZ,New Zealand,WPRO,0,0,0,0
2020-02-07,NZ,New Zealand,WPRO,0,0,0,0
2020-02-08,NZ,New Zealand,WPRO,0,0,0,0
2020-02-09,NZ,New Zealand,WPRO,0,0,0,0
2020-02-10,NZ,New Zealand,WPRO,0,0,0,0
2020-02-11,NZ,New Zealand,WPRO,0,0,0,0
2020-02-12,NZ,New Zealand,WPRO,0,0,0,0
2020-02-13,NZ,New Zealand,WPRO,0,0,0,0
2020-02-14,NZ,New Zealand,WPRO,0,0,0,0
2020-02-15,NZ,New Zealand,WPRO,0,0,0,0
2020-02-16,NZ,New Zealand,WPRO,0,0,0,0
2020-02-17,NZ,New Zealand,WPRO,0,0,0,0
2020-02-18,NZ,New Zealand,WPRO,0,0,0,0
2020-02-19,NZ,New Zealand,WPRO,0,0,0,0
2020-02-20,NZ,New Zealand,WPRO,0,0,0,0
2020-02-21,NZ,New Zealand,WPRO,0,0,0,0
2020-02-22,NZ,New Zealand,WPRO,0,0,0,0
2020-02-23,NZ,New Zealand,WPRO,0,0,0,0
2020-02-24,NZ,New Zealand,WPRO,0,0,0,0
2020-02-25,NZ,New Zealand,WPRO,0,0,0,0
2020-02-26,NZ,New Zealand,WPRO,0,0,0,0
2020-02-27,NZ,New Zealand,WPRO,0,0,0,0
2020-02-28,NZ,New Zealand,WPRO,1,1,0,0
2020-02-29,NZ,New Zealand,WPRO,0,1,0,0
2020-03-01,NZ,New Zealand,WPRO,0,1,0,0
2020-03-02,NZ,New Zealand,WPRO,0,1,0,0
2020-03-03,NZ,New Zealand,WPRO,0,1,0,0
2020-03-04,NZ,New Zealand,WPRO,1,2,0,0
2020-03-05,NZ,New Zealand,WPRO,1,3,0,0
2020-03-06,NZ,New Zealand,WPRO,1,4,0,0
2020-03-07,NZ,New Zealand,WPRO,1,5,0,0
2020-03-08,NZ,New Zealand,WPRO,0,5,0,0
2020-03-09,NZ,New Zealand,WPRO,0,5,0,0
2020-03-10,NZ,New Zealand,WPRO,0,5,0,0
2020-03-11,NZ,New Zealand,WPRO,0,5,0,0
2020-03-12,NZ,New Zealand,WPRO,0,5,0,0
2020-03-13,NZ,New Zealand,WPRO,0,5,0,0
2020-03-14,NZ,New Zealand,WPRO,1,6,0,0
2020-03-15,NZ,New Zealand,WPRO,2,8,0,0
2020-03-16,NZ,New Zealand,WPRO,0,8,0,0
2020-03-17,NZ,New Zealand,WPRO,4,12,0,0
2020-03-18,NZ,New Zealand,WPRO,8,20,0,0
2020-03-19,NZ,New Zealand,WPRO,8,28,0,0
2020-03-20,NZ,New Zealand,WPRO,11,39,0,0
2020-03-21,NZ,New Zealand,WPRO,13,52,0,0
2020-03-22,NZ,New Zealand,WPRO,14,66,0,0
2020-03-23,NZ,New Zealand,WPRO,36,102,0,0
2020-03-24,NZ,New Zealand,WPRO,40,142,0,0
2020-03-25,NZ,New Zealand,WPRO,47,189,0,0
2020-03-26,NZ,New Zealand,WPRO,73,262,0,0
2020-03-27,NZ,New Zealand,WPRO,76,338,0,0
2020-03-28,NZ,New Zealand,WPRO,78,416,0,0
2020-03-29,NZ,New Zealand,WPRO,60,476,1,1
2020-03-30,NZ,New Zealand,WPRO,76,552,0,1
2020-03-31,NZ,New Zealand,WPRO,48,600,0,1
2020-04-01,NZ,New Zealand,WPRO,47,647,0,1
2020-04-02,NZ,New Zealand,WPRO,76,723,0,1
2020-04-03,NZ,New Zealand,WPRO,51,774,0,1
2020-04-04,NZ,New Zealand,WPRO,50,824,0,1
2020-04-05,NZ,New Zealand,WPRO,48,872,0,1
2020-04-06,NZ,New Zealand,WPRO,39,911,0,1
2020-04-07,NZ,New Zealand,WPRO,32,943,0,1
2020-04-08,NZ,New Zealand,WPRO,26,969,0,1
2020-04-09,NZ,New Zealand,WPRO,23,992,0,1
2020-04-10,NZ,New Zealand,WPRO,23,1015,1,2
2020-04-11,NZ,New Zealand,WPRO,20,1035,2,4
2020-04-12,NZ,New Zealand,WPRO,14,1049,0,4
2020-04-13,NZ,New Zealand,WPRO,15,1064,1,5
2020-04-14,NZ,New Zealand,WPRO,8,1072,4,9
2020-04-15,NZ,New Zealand,WPRO,6,1078,0,9
2020-04-16,NZ,New Zealand,WPRO,6,1084,0,9
2020-04-17,NZ,New Zealand,WPRO,2,1086,2,11
2020-04-18,NZ,New Zealand,WPRO,8,1094,0,11
2020-04-19,NZ,New Zealand,WPRO,4,1098,0,11
2020-04-20,NZ,New Zealand,WPRO,7,1105,1,12
2020-04-21,NZ,New Zealand,WPRO,2,1107,1,13
2020-04-22,NZ,New Zealand,WPRO,3,1110,1,14
2020-04-23,NZ,New Zealand,WPRO,2,1112,2,16
2020-04-24,NZ,New Zealand,WPRO,2,1114,1,17
2020-04-25,NZ,New Zealand,WPRO,3,1117,1,18
2020-04-26,NZ,New Zealand,WPRO,4,1121,0,18
2020-04-27,NZ,New Zealand,WPRO,1,1122,1,19
2020-04-28,NZ,New Zealand,WPRO,2,1124,0,19
2020-04-29,NZ,New Zealand,WPRO,2,1126,0,19
2020-04-30,NZ,New Zealand,WPRO,3,1129,0,19
2020-05-01,NZ,New Zealand,WPRO,3,1132,0,19
2020-05-02,NZ,New Zealand,WPRO,2,1134,1,20
2020-05-03,NZ,New Zealand,WPRO,2,1136,0,20
2020-05-04,NZ,New Zealand,WPRO,1,1137,0,20
2020-05-05,NZ,New Zealand,WPRO,0,1137,0,20
2020-05-06,NZ,New Zealand,WPRO,1,1138,1,21
2020-05-07,NZ,New Zealand,WPRO,1,1139,0,21
2020-05-08,NZ,New Zealand,WPRO,2,1141,0,21
2020-05-09,NZ,New Zealand,WPRO,1,1142,0,21
2020-05-10,NZ,New Zealand,WPRO,2,1144,0,21
2020-05-11,NZ,New Zealand,WPRO,3,1147,0,21
2020-05-12,NZ,New Zealand,WPRO,0,1147,0,21
2020-05-13,NZ,New Zealand,WPRO,0,1147,0,21
2020-05-14,NZ,New Zealand,WPRO,0,1147,0,21
2020-05-15,NZ,New Zealand,WPRO,1,1148,0,21
2020-05-16,NZ,New Zealand,WPRO,0,1148,0,21
2020-05-17,NZ,New Zealand,WPRO,1,1149,0,21
2020-05-18,NZ,New Zealand,WPRO,0,1149,0,21
2020-05-19,NZ,New Zealand,WPRO,4,1153,0,21
2020-05-20,NZ,New Zealand,WPRO,0,1153,0,21
2020-05-21,NZ,New Zealand,WPRO,0,1153,0,21
2020-05-22,NZ,New Zealand,WPRO,1,1154,0,21
2020-05-23,NZ,New Zealand,WPRO,0,1154,0,21
2020-05-24,NZ,New Zealand,WPRO,0,1154,0,21
2020-05-25,NZ,New Zealand,WPRO,0,1154,0,21
2020-05-26,NZ,New Zealand,WPRO,0,1154,0,21
2020-05-27,NZ,New Zealand,WPRO,0,1154,0,21
2020-05-28,NZ,New Zealand,WPRO,0,1154,1,22
2020-05-29,NZ,New Zealand,WPRO,0,1154,0,22
2020-05-30,NZ,New Zealand,WPRO,0,1154,0,22
2020-05-31,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-01,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-02,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-03,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-04,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-05,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-06,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-07,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-08,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-09,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-10,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-11,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-12,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-13,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-14,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-15,NZ,New Zealand,WPRO,0,1154,0,22
2020-06-16,NZ,New Zealand,WPRO,2,1156,0,22
2020-06-17,NZ,New Zealand,WPRO,0,1156,0,22
2020-06-18,NZ,New Zealand,WPRO,1,1157,0,22
2020-06-19,NZ,New Zealand,WPRO,0,1157,0,22
2020-06-20,NZ,New Zealand,WPRO,2,1159,0,22
2020-06-21,NZ,New Zealand,WPRO,0,1159,0,22
2020-06-22,NZ,New Zealand,WPRO,4,1163,0,22
2020-06-23,NZ,New Zealand,WPRO,2,1165,0,22
2020-06-24,NZ,New Zealand,WPRO,1,1166,0,22
2020-06-25,NZ,New Zealand,WPRO,3,1169,0,22
2020-06-26,NZ,New Zealand,WPRO,1,1170,0,22
2020-06-27,NZ,New Zealand,WPRO,2,1172,0,22
2020-06-28,NZ,New Zealand,WPRO,4,1176,0,22
2020-06-29,NZ,New Zealand,WPRO,2,1178,0,22
2020-06-30,NZ,New Zealand,WPRO,0,1178,0,22
2020-07-01,NZ,New Zealand,WPRO,0,1178,0,22
2020-07-02,NZ,New Zealand,WPRO,2,1180,0,22
2020-07-03,NZ,New Zealand,WPRO,0,1180,0,22
2020-07-04,NZ,New Zealand,WPRO,0,1180,0,22
2020-07-05,NZ,New Zealand,WPRO,3,1183,0,22
2020-07-06,NZ,New Zealand,WPRO,1,1184,0,22
2020-07-07,NZ,New Zealand,WPRO,2,1186,0,22
2020-07-08,NZ,New Zealand,WPRO,1,1187,0,22
2020-07-09,NZ,New Zealand,WPRO,3,1190,0,22
2020-07-10,NZ,New Zealand,WPRO,2,1192,0,22
2020-07-11,NZ,New Zealand,WPRO,1,1193,0,22
2020-07-12,NZ,New Zealand,WPRO,1,1194,0,22
2020-07-13,NZ,New Zealand,WPRO,0,1194,0,22
2020-07-14,NZ,New Zealand,WPRO,1,1195,0,22
2020-07-15,NZ,New Zealand,WPRO,2,1197,0,22
2020-07-16,NZ,New Zealand,WPRO,1,1198,0,22
2020-07-17,NZ,New Zealand,WPRO,1,1199,0,22
2020-07-18,NZ,New Zealand,WPRO,1,1200,0,22
2020-07-19,NZ,New Zealand,WPRO,3,1203,0,22
2020-07-20,NZ,New Zealand,WPRO,1,1204,0,22
2020-07-21,NZ,New Zealand,WPRO,1,1205,0,22
2020-07-22,NZ,New Zealand,WPRO,0,1205,0,22
2020-07-23,NZ,New Zealand,WPRO,0,1205,0,22
2020-07-24,NZ,New Zealand,WPRO,1,1206,0,22
2020-07-25,NZ,New Zealand,WPRO,0,1206,0,22
2020-07-26,NZ,New Zealand,WPRO,0,1206,0,22
2020-07-27,NZ,New Zealand,WPRO,0,1206,0,22
2020-07-28,NZ,New Zealand,WPRO,1,1207,0,22
2020-07-29,NZ,New Zealand,WPRO,1,1208,0,22
2020-07-30,NZ,New Zealand,WPRO,2,1210,0,22
2020-07-31,NZ,New Zealand,WPRO,0,1210,0,22
2020-08-01,NZ,New Zealand,WPRO,2,1212,0,22
2020-08-02,NZ,New Zealand,WPRO,3,1215,0,22
2020-08-03,NZ,New Zealand,WPRO,2,1217,0,22
2020-08-04,NZ,New Zealand,WPRO,0,1217,0,22
2020-08-05,NZ,New Zealand,WPRO,2,1219,0,22
2020-08-06,NZ,New Zealand,WPRO,0,1219,0,22
2020-08-07,NZ,New Zealand,WPRO,0,1219,0,22
2020-08-08,NZ,New Zealand,WPRO,0,1219,0,22
2020-08-09,NZ,New Zealand,WPRO,0,1219,0,22
2020-08-10,NZ,New Zealand,WPRO,0,1219,0,22
2020-08-11,NZ,New Zealand,WPRO,1,1220,0,22
2020-08-12,NZ,New Zealand,WPRO,4,1224,0,22
2020-08-13,NZ,New Zealand,WPRO,14,1238,0,22
2020-08-14,NZ,New Zealand,WPRO,13,1251,0,22
2020-08-15,NZ,New Zealand,WPRO,7,1258,0,22
2020-08-16,NZ,New Zealand,WPRO,13,1271,0,22
2020-08-17,NZ,New Zealand,WPRO,9,1280,0,22
2020-08-18,NZ,New Zealand,WPRO,13,1293,0,22
2020-08-19,NZ,New Zealand,WPRO,6,1299,0,22
2020-08-20,NZ,New Zealand,WPRO,5,1304,0,22
2020-08-21,NZ,New Zealand,WPRO,11,1315,0,22
2020-08-22,NZ,New Zealand,WPRO,6,1321,0,22
2020-08-23,NZ,New Zealand,WPRO,3,1324,0,22
2020-08-24,NZ,New Zealand,WPRO,8,1332,0,22
2020-08-25,NZ,New Zealand,WPRO,7,1339,0,22
2020-08-26,NZ,New Zealand,WPRO,5,1344,0,22
2020-08-27,NZ,New Zealand,WPRO,7,1351,0,22
2020-08-28,NZ,New Zealand,WPRO,12,1363,0,22
2020-08-29,NZ,New Zealand,WPRO,13,1376,0,22
2020-08-30,NZ,New Zealand,WPRO,2,1378,0,22
2020-08-31,NZ,New Zealand,WPRO,9,1387,0,22
2020-09-01,NZ,New Zealand,WPRO,14,1401,0,22
2020-09-02,NZ,New Zealand,WPRO,5,1406,0,22
2020-09-03,NZ,New Zealand,WPRO,2,1408,0,22
2020-09-04,NZ,New Zealand,WPRO,5,1413,0,22
2020-09-05,NZ,New Zealand,WPRO,3,1416,2,24
2020-09-06,NZ,New Zealand,WPRO,5,1421,0,24
2020-09-07,NZ,New Zealand,WPRO,4,1425,0,24
2020-09-08,NZ,New Zealand,WPRO,6,1431,0,24
2020-09-09,NZ,New Zealand,WPRO,6,1437,0,24
2020-09-10,NZ,New Zealand,WPRO,4,1441,0,24
2020-09-11,NZ,New Zealand,WPRO,1,1442,0,24
